overall_accuracy_t1,balanced_accuracy_t1,fake_accuracy_t1,real_accuracy_t1,true_positive_rate_t1,false_positive_rate_t1,true_negative_rate_t1,false_negative_rate_t1,real_sharing_rate_t1,fake_sharing_rate_t1,share_given_judged_real_t1,share_given_judged_fake_t1,share_on_TN_t1,share_on_FP_t1,share_on_FN_t1,share_on_TP_t1,intervention_group,id,attrition,overall_accuracy_t2,balanced_accuracy_t2,fake_accuracy_t2,real_accuracy_t2,true_positive_rate_t2,false_positive_rate_t2,true_negative_rate_t2,false_negative_rate_t2,real_sharing_rate_t2,fake_sharing_rate_t2,share_given_judged_real_t2,share_given_judged_fake_t2,share_on_TN_t2,share_on_FP_t2,share_on_FN_t2,share_on_TP_t2
73.33333333333333,80.0,60.0,100.0,100.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_3,G1_P0001,0,78.57142857142857,74.44444444444444,88.88888888888889,60.0,60.0,11.11111111111111,88.88888888888889,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,85.0,70.0,100.0,100.0,30.0,70.0,0.0,80.0,20.0,62.5,14.285714285714285,14.285714285714285,33.33333333333333,0.0,80.0,intervention_4,G1_P0004,0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,33.33333333333333,0.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0
66.66666666666666,75.0,50.0,100.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,control,G1_P0007,0,80.0,80.0,80.0,80.0,80.0,20.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,85.0,70.0,100.0,100.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_3,G1_P0009,0,93.33333333333333,95.0,90.0,100.0,100.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.666666666666664,50.0,40.0,60.0,60.0,60.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_3,G1_P0010,0,66.66666666666666,75.0,50.0,100.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.66666666666666,70.0,60.0,80.0,80.0,40.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_1,G1_P0011,0,57.14285714285714,57.77777777777777,55.55555555555556,60.0,60.0,44.44444444444444,55.55555555555556,40.0,20.0,22.22222222222222,42.857142857142854,0.0,0.0,50.0,0.0,33.33333333333333
73.33333333333333,80.0,60.0,100.0,100.0,40.0,60.0,0.0,60.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,60.0,intervention_1,G1_P0012,0,73.33333333333333,80.0,60.0,100.0,100.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.85714285714286,87.5,100.0,75.0,75.0,0.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,control,G1_P0014,0,78.57142857142857,74.44444444444444,88.88888888888889,60.0,60.0,11.11111111111111,88.88888888888889,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.66666666666666,75.0,50.0,100.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_4,G1_P0015,0,73.33333333333333,75.0,70.0,80.0,80.0,30.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.66666666666666,64.99999999999999,70.0,60.0,60.0,30.0,70.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_5,G1_P0018,0,86.66666666666667,80.0,100.0,60.0,60.0,0.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
