session_id,condition,session_started,page,entered_at,duration_ms,click_count
ccb73a75-f35b-468f-a208-b4d20ebaf765,test,2026-06-30T12:34:46.513816,,,,
da25c5bb-3e68-4110-a85c-25dc999a726a,test,2026-06-30T12:34:57.699129,,,,
92092a4b-4261-458a-9ed0-31d88d3c7129,test,2026-06-30T12:35:07.293327,overview,2026-06-30T10:00:00Z,5000,3
d2959909-389b-4cd2-b437-588462f4b4cc,demo,2026-06-30T12:35:21.879117,,,,
63a6a24c-1003-416c-a405-d6c0d0ca1bc0,demo,2026-06-30T12:36:14.260593,overview,2026-06-30T19:36:14.258Z,16929,0
63a6a24c-1003-416c-a405-d6c0d0ca1bc0,demo,2026-06-30T12:36:14.260593,control,2026-06-30T19:36:31.187Z,1236,1
63a6a24c-1003-416c-a405-d6c0d0ca1bc0,demo,2026-06-30T12:36:14.260593,control-task-img-1,2026-06-30T19:36:32.423Z,3774,5
63a6a24c-1003-416c-a405-d6c0d0ca1bc0,demo,2026-06-30T12:36:14.260593,control-task-img-2,2026-06-30T19:36:36.197Z,2940,5
63a6a24c-1003-416c-a405-d6c0d0ca1bc0,demo,2026-06-30T12:36:14.260593,control-task-img-3,2026-06-30T19:36:39.137Z,3522,1
63a6a24c-1003-416c-a405-d6c0d0ca1bc0,demo,2026-06-30T12:36:14.260593,int1,2026-06-30T19:36:42.659Z,1137,1
63a6a24c-1003-416c-a405-d6c0d0ca1bc0,demo,2026-06-30T12:36:14.260593,int1-task-img-1,2026-06-30T19:36:43.797Z,3752,5
d2e82f2b-5b2c-4cc1-948f-630578cc6939,demo,2026-06-30T12:37:29.944395,overview,2026-06-30T19:37:29.943Z,4306,0
d2e82f2b-5b2c-4cc1-948f-630578cc6939,demo,2026-06-30T12:37:29.944395,control,2026-06-30T19:37:34.250Z,761,1
d2e82f2b-5b2c-4cc1-948f-630578cc6939,demo,2026-06-30T12:37:29.944395,control-task-img-1,2026-06-30T19:37:35.011Z,3181,7
